Date,adjclose,close,high,low,open,volume,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1997-08-06,0.11249999701976776,0.11249999701976776,0.11562500149011612,0.109375,0.11041700094938278,24864000,0.40592256,0.11588499695062637,0.003384999930858612,0.0
1997-08-21,0.10572899878025055,0.10572899878025055,0.10859400033950806,0.10364600270986557,0.10677099972963333,12480000,0.4475812,0.18437500298023224,0.07864600419998169,0.0
1997-09-03,0.1166670024394989,0.1166670024394989,0.12083300203084946,0.11562500149011612,0.1171879991889,39288000,0.45625788,0.21875,0.1020829975605011,0.0
1997-09-05,0.125,0.125,0.1333329975605011,0.12291699647903442,0.12916700541973114,38160000,0.43479973,0.20833300054073334,0.08333300054073334,0.0
1997-09-10,0.1651040017604828,0.1651040017604828,0.16640600562095642,0.15625,0.16562500596046448,77328000,0.3481519,0.20104199647903442,0.035937994718551636,0.0
1997-09-15,0.1546880006790161,0.1546880006790161,0.18385399878025055,0.15260399878025055,0.18333299458026886,111672000,0.38318834,0.20624999701976776,0.05156199634075165,0.0
1997-09-17,0.1703130006790161,0.1703130006790161,0.17499999701976776,0.16666699945926666,0.17291699349880219,52152000,0.39389896,0.2002599984407425,0.02994699776172638,0.0
1997-09-22,0.22499999403953552,0.22499999403953552,0.2338539958000183,0.19739599525928497,0.20000000298023224,338760000,0.40391523,0.20000000298023224,-0.024999991059303284,0.0
1997-09-29,0.20208300650119781,0.20208300650119781,0.20937499403953552,0.19791699945926666,0.20729200541973114,47424000,0.43257934,0.19114600121974945,-0.010937005281448364,0.0
1997-10-06,0.20624999701976776,0.20624999701976776,0.20624999701976776,0.19713500142097473,0.20000000298023224,40560000,0.56769234,0.21354199945926666,0.007292002439498901,0.0
1997-10-17,0.18125000596046448,0.18125000596046448,0.18281300365924835,0.17604200541973114,0.1807290017604828,50688000,0.5026563,0.22395800054073337,0.04270799458026889,0.0
1997-10-21,0.22135399281978607,0.22135399281978607,0.22187499701976776,0.19270800054073334,0.19791699945926666,241920000,0.44567013,0.19739599525928497,-0.0239579975605011,0.0
1997-10-31,0.25416699051856995,0.25416699051856995,0.2729170024394989,0.2484380006790161,0.26822900772094727,100536000,0.4205291,0.22447900474071503,-0.02968798577785492,0.0
1997-11-05,0.24375000596046448,0.24375000596046448,0.25598999857902527,0.24375000596046448,0.24895800650119781,61872000,0.5804103,0.21302099525928497,-0.030729010701179504,0.0
1997-11-17,0.21875,0.21875,0.2270829975605011,0.2109380066394806,0.2114579975605011,147888000,0.40750796,0.234375,0.015625,0.0
1997-11-20,0.22916699945926666,0.22916699945926666,0.23020799458026886,0.2255209982395172,0.22864599525928497,118464000,0.47048545,0.2270829975605011,-0.002084001898765564,0.0
1997-12-12,0.2270829975605011,0.2270829975605011,0.24010400474071503,0.22031299769878387,0.23229199647903442,53448000,0.5187028,0.24192699790000916,0.014844000339508057,0.0
1997-12-16,0.22291700541973114,0.22291700541973114,0.23229199647903442,0.22291700541973114,0.23229199647903442,33744000,0.52933764,0.23072899878025055,0.007811993360519409,0.0
1998-01-08,0.23072899878025055,0.23072899878025055,0.23515599966049194,0.2265630066394806,0.2348960041999817,120312000,0.5149073,0.24583299458026886,0.01510399580001831,0.0
1998-01-21,0.25364598631858826,0.25364598631858826,0.2583329975605011,0.24375000596046448,0.24687500298023224,174768000,0.4638571,0.2645829916000366,0.010937005281448364,0.0
1998-01-27,0.23749999701976776,0.23749999701976776,0.2432290017604828,0.23333300650119781,0.24088500440120697,82080000,0.43402955,0.25364598631858826,0.016145989298820496,0.0
1998-01-30,0.24583299458026886,0.24583299458026886,0.25312501192092896,0.24427099525928497,0.25,74448000,0.51088643,0.2703129947185517,0.02448000013828283,0.0
1998-02-04,0.25312501192092896,0.25312501192092896,0.2593750059604645,0.25260400772094727,0.25312501192092896,24696000,0.53764147,0.3031249940395355,0.04999998211860657,0.0
